distribution,image_source,method,alpha,probe_budget_fraction,mean_carrier_recall,mean_precision_hit_rate,lift
wavelet_energy,stego,HUGO,0.2,0.5,0.6134986203224104,0.04430749130249023,1.2269972406448209
wavelet_energy,stego,HUGO,0.3,0.01,0.013743879952834274,0.08059149179702403,1.3743879952834273
wavelet_energy,stego,HUGO,0.3,0.05,0.06813927792243982,0.07985117875944152,1.3627855584487962
wavelet_energy,stego,HUGO,0.3,0.1,0.1346433381795153,0.0788219653620203,1.3464333817951528
wavelet_energy,stego,HUGO,0.3,0.2,0.26254052040581494,0.07668780064468138,1.3127026020290746
wavelet_energy,stego,HUGO,0.3,0.3,0.38347577717598635,0.07450602978014571,1.2782525905866213
wavelet_energy,stego,HUGO,0.3,0.4,0.49723019003450264,0.07228005302408973,1.2430754750862565
wavelet_energy,stego,HUGO,0.3,0.5,0.6034974139371384,0.07000386276245117,1.2069948278742768
wavelet_energy,stego,HUGO,0.4,0.01,0.013336821897073792,0.1098546737886303,1.3336821897073792
wavelet_energy,stego,HUGO,0.4,0.05,0.06613759888958091,0.10888473334859235,1.3227519777916181
wavelet_energy,stego,HUGO,0.4,0.1,0.13087420923519494,0.10765616845960176,1.3087420923519493
wavelet_energy,stego,HUGO,0.4,0.2,0.2560549966358209,0.10515157641763148,1.2802749831791043
wavelet_energy,stego,HUGO,0.4,0.3,0.37534731762787754,0.102585351525247,1.2511577254262585
wavelet_energy,stego,HUGO,0.4,0.4,0.4883476699246372,0.09991153464685575,1.220869174811593
wavelet_energy,stego,HUGO,0.4,0.5,0.5947400731788948,0.0971414939880371,1.1894801463577895
wavelet_energy,stego,HUGO,0.5,0.01,0.012956549803755166,0.139604921785578,1.2956549803755166
wavelet_energy,stego,HUGO,0.5,0.05,0.0643903052489893,0.13867958342870224,1.2878061049797858
wavelet_energy,stego,HUGO,0.5,0.1,0.12758418736793467,0.13732269398031585,1.2758418736793466
wavelet_energy,stego,HUGO,0.5,0.2,0.2504140042992362,0.13460676724713422,1.252070021496181
wavelet_energy,stego,HUGO,0.5,0.3,0.368135733166351,0.13175131035184312,1.2271191105545034
wavelet_energy,stego,HUGO,0.5,0.4,0.4804059319304506,0.12875535390718879,1.2010148298261265
wavelet_energy,stego,HUGO,0.5,0.5,0.5867406938602869,0.12559322509765625,1.1734813877205739
srm_residual,stego,HUGO,0.03,0.01,0.03163590922891859,0.013821060663868753,3.163590922891859
srm_residual,stego,HUGO,0.03,0.05,0.14931512642766206,0.012979819943541616,2.986302528553241
srm_residual,stego,HUGO,0.03,0.1,0.2780046351594583,0.012007480735484853,2.780046351594583
srm_residual,stego,HUGO,0.03,0.2,0.48526572806294427,0.010365591561921838,2.426328640314721
srm_residual,stego,HUGO,0.03,0.3,0.6396216251544513,0.009026953447859315,2.132072083848171
srm_residual,stego,HUGO,0.03,0.4,0.7543376804867021,0.007925173091228137,1.8858442012167553
srm_residual,stego,HUGO,0.03,0.5,0.8390002844937761,0.007008753204345703,1.6780005689875521
srm_residual,stego,HUGO,0.05,0.01,0.02930510205159088,0.02262125143075162,2.930510205159088
srm_residual,stego,HUGO,0.05,0.05,0.13925693347054077,0.021402227817196917,2.785138669410815
srm_residual,stego,HUGO,0.05,0.1,0.261488972551257,0.01998958190280003,2.6148897255125703
srm_residual,stego,HUGO,0.05,0.2,0.46271964432667373,0.017519533082835836,2.3135982216333684
srm_residual,stego,HUGO,0.05,0.3,0.6171024749140833,0.015449235151253128,2.0570082497136113
srm_residual,stego,HUGO,0.05,0.4,0.734654316447576,0.013697772225295161,1.8366357911189397
srm_residual,stego,HUGO,0.05,0.5,0.8233081410558789,0.01220826644897461,1.6466162821117578
srm_residual,stego,HUGO,0.1,0.01,0.02597576894011712,0.04359893170545594,2.597576894011712
srm_residual,stego,HUGO,0.1,0.05,0.12469068056725754,0.04173521782253757,2.493813611345151
srm_residual,stego,HUGO,0.1,0.1,0.23702988671095926,0.03952418554970626,2.3702988671095926
srm_residual,stego,HUGO,0.1,0.2,0.4284591090318032,0.03546687710999638,2.1422955451590155
srm_residual,stego,HUGO,0.1,0.3,0.5814993584490414,0.03187611866281805,1.9383311948301383
srm_residual,stego,HUGO,0.1,0.4,0.7025909490653902,0.02871118560338744,1.7564773726634755
